timestamp,cpu,memory
2025-03-05 00:00:00,60,131
2025-03-05 00:15:00,50,121
2025-03-05 00:30:00,59,112
2025-03-05 00:45:00,50,115
2025-03-05 01:00:00,50,117
2025-03-05 01:15:00,82,112
2025-03-05 01:30:00,51,120
2025-03-05 01:45:00,84,109
2025-03-05 02:00:00,50,100
2025-03-05 02:15:00,50,100
2025-03-05 02:30:00,74,103
2025-03-05 02:45:00,66,100
2025-03-05 03:00:00,50,100
2025-03-05 03:15:00,84,102
2025-03-05 03:30:00,50,100
2025-03-05 03:45:00,87,105
2025-03-05 04:00:00,50,103
2025-03-05 04:15:00,50,100
2025-03-05 04:30:00,50,100
2025-03-05 04:45:00,66,105
2025-03-05 05:00:00,50,101
2025-03-05 05:15:00,83,100
2025-03-05 05:30:00,78,107
2025-03-05 05:45:00,60,114
2025-03-05 06:00:00,80,107
2025-03-05 06:15:00,57,105
2025-03-05 06:30:00,72,106
2025-03-05 06:45:00,68,106
2025-03-05 07:00:00,79,116
2025-03-05 07:15:00,80,109
2025-03-05 07:30:00,79,122
2025-03-05 07:45:00,59,114
2025-03-05 08:00:00,69,116
2025-03-05 08:15:00,50,123
2025-03-05 08:30:00,50,136
2025-03-05 08:45:00,50,132
2025-03-05 09:00:00,50,131
2025-03-05 09:15:00,52,148
2025-03-05 09:30:00,80,150
2025-03-05 09:45:00,50,153
2025-03-05 10:00:00,100,145
2025-03-05 10:15:00,50,153
2025-03-05 10:30:00,66,163
2025-03-05 10:45:00,72,163
2025-03-05 11:00:00,73,157
2025-03-05 11:15:00,86,169
2025-03-05 11:30:00,84,163
2025-03-05 11:45:00,94,180
2025-03-05 12:00:00,50,174
2025-03-05 12:15:00,64,168
2025-03-05 12:30:00,100,188
2025-03-05 12:45:00,67,178
2025-03-05 13:00:00,100,195
2025-03-05 13:15:00,100,179
2025-03-05 13:30:00,72,186
2025-03-05 13:45:00,100,185
2025-03-05 14:00:00,100,188
2025-03-05 14:15:00,100,195
2025-03-05 14:30:00,83,187
2025-03-05 14:45:00,100,199
