timestamp,cpu,memory
2025-03-26 00:00:00,81,131
2025-03-26 00:15:00,78,122
2025-03-26 00:30:00,63,122
2025-03-26 00:45:00,50,125
2025-03-26 01:00:00,50,124
2025-03-26 01:15:00,50,108
2025-03-26 01:30:00,50,102
2025-03-26 01:45:00,50,116
2025-03-26 02:00:00,50,107
2025-03-26 02:15:00,85,103
2025-03-26 02:30:00,53,100
2025-03-26 02:45:00,50,100
2025-03-26 03:00:00,50,100
2025-03-26 03:15:00,63,108
2025-03-26 03:30:00,55,100
2025-03-26 03:45:00,83,100
2025-03-26 04:00:00,50,105
2025-03-26 04:15:00,50,100
2025-03-26 04:30:00,71,100
2025-03-26 04:45:00,50,100
2025-03-26 05:00:00,85,100
2025-03-26 05:15:00,78,100
2025-03-26 05:30:00,82,101
2025-03-26 05:45:00,50,100
2025-03-26 06:00:00,50,111
2025-03-26 06:15:00,58,116
2025-03-26 06:30:00,50,117
2025-03-26 06:45:00,59,109
2025-03-26 07:00:00,50,113
2025-03-26 07:15:00,50,119
2025-03-26 07:30:00,99,126
2025-03-26 07:45:00,94,125
2025-03-26 08:00:00,93,133
2025-03-26 08:15:00,91,137
2025-03-26 08:30:00,54,134
2025-03-26 08:45:00,89,143
2025-03-26 09:00:00,50,133
2025-03-26 09:15:00,53,141
2025-03-26 09:30:00,100,148
2025-03-26 09:45:00,83,149
2025-03-26 10:00:00,70,140
2025-03-26 10:15:00,54,145
2025-03-26 10:30:00,51,165
2025-03-26 10:45:00,100,157
2025-03-26 11:00:00,94,153
2025-03-26 11:15:00,100,171
2025-03-26 11:30:00,100,162
2025-03-26 11:45:00,72,167
2025-03-26 12:00:00,100,167
2025-03-26 12:15:00,96,174
2025-03-26 12:30:00,100,176
2025-03-26 12:45:00,100,186
2025-03-26 13:00:00,100,180
2025-03-26 13:15:00,88,191
2025-03-26 13:30:00,61,191
2025-03-26 13:45:00,94,183
2025-03-26 14:00:00,66,188
2025-03-26 14:15:00,100,200
2025-03-26 14:30:00,93,196
2025-03-26 14:45:00,100,191
2025-03-26 15:00:00,86,191
2025-03-26 15:15:00,96,193
2025-03-26 15:30:00,99,191
2025-03-26 15:45:00,100,195
2025-03-26 16:00:00,100,200
2025-03-26 16:15:00,74,194
2025-03-26 16:30:00,100,197
2025-03-26 16:45:00,75,196
2025-03-26 17:00:00,100,200
2025-03-26 17:15:00,73,192
2025-03-26 17:30:00,72,200
2025-03-26 17:45:00,66,193
2025-03-26 18:00:00,58,187
2025-03-26 18:15:00,100,193
2025-03-26 18:30:00,100,190
2025-03-26 18:45:00,60,196
2025-03-26 19:00:00,100,194
2025-03-26 19:15:00,100,182
2025-03-26 19:30:00,80,186
2025-03-26 19:45:00,96,177
2025-03-26 20:00:00,67,176
2025-03-26 20:15:00,90,165
2025-03-26 20:30:00,83,160
2025-03-26 20:45:00,100,167
2025-03-26 21:00:00,100,168
2025-03-26 21:15:00,80,169
2025-03-26 21:30:00,50,152
2025-03-26 21:45:00,62,143
2025-03-26 22:00:00,63,155
2025-03-26 22:15:00,50,152
2025-03-26 22:30:00,50,152
2025-03-26 22:45:00,68,141
2025-03-26 23:00:00,61,133
2025-03-26 23:15:00,50,134
2025-03-26 23:30:00,92,129
2025-03-26 23:45:00,65,130
2025-03-27 00:00:00,50,125
2025-03-27 00:15:00,67,121
2025-03-27 00:30:00,50,117
2025-03-27 00:45:00,50,119
2025-03-27 01:00:00,68,117
2025-03-27 01:15:00,61,112
2025-03-27 01:30:00,90,119
2025-03-27 01:45:00,50,113
2025-03-27 02:00:00,69,112
2025-03-27 02:15:00,50,111
2025-03-27 02:30:00,58,111
2025-03-27 02:45:00,88,100
2025-03-27 03:00:00,50,109
2025-03-27 03:15:00,50,100
2025-03-27 03:30:00,59,103
2025-03-27 03:45:00,50,104
2025-03-27 04:00:00,50,109
2025-03-27 04:15:00,79,100
2025-03-27 04:30:00,82,108
2025-03-27 04:45:00,55,107
2025-03-27 05:00:00,50,110
2025-03-27 05:15:00,50,109
2025-03-27 05:30:00,90,113
2025-03-27 05:45:00,91,100
2025-03-27 06:00:00,50,115
2025-03-27 06:15:00,66,112
2025-03-27 06:30:00,50,102
2025-03-27 06:45:00,68,109
2025-03-27 07:00:00,50,108
2025-03-27 07:15:00,54,125
2025-03-27 07:30:00,54,123
2025-03-27 07:45:00,67,117
2025-03-27 08:00:00,50,132
2025-03-27 08:15:00,84,137
2025-03-27 08:30:00,50,125
2025-03-27 08:45:00,50,127
2025-03-27 09:00:00,100,129
2025-03-27 09:15:00,66,144
2025-03-27 09:30:00,66,152
2025-03-27 09:45:00,50,152
2025-03-27 10:00:00,79,151
2025-03-27 10:15:00,54,153
2025-03-27 10:30:00,82,152
2025-03-27 10:45:00,91,154
2025-03-27 11:00:00,92,163
2025-03-27 11:15:00,100,160
2025-03-27 11:30:00,99,177
2025-03-27 11:45:00,100,169
2025-03-27 12:00:00,100,171
2025-03-27 12:15:00,87,183
2025-03-27 12:30:00,86,189
2025-03-27 12:45:00,99,174
2025-03-27 13:00:00,100,186
2025-03-27 13:15:00,69,194
2025-03-27 13:30:00,80,190
2025-03-27 13:45:00,85,188
2025-03-27 14:00:00,100,186
2025-03-27 14:15:00,86,193
2025-03-27 14:30:00,100,190
2025-03-27 14:45:00,100,191
2025-03-27 15:00:00,100,200
2025-03-27 15:15:00,72,200
2025-03-27 15:30:00,76,193
2025-03-27 15:45:00,81,191
2025-03-27 16:00:00,100,200
2025-03-27 16:15:00,100,200
2025-03-27 16:30:00,85,200
2025-03-27 16:45:00,80,200
2025-03-27 17:00:00,100,191
2025-03-27 17:15:00,100,187
2025-03-27 17:30:00,100,200
2025-03-27 17:45:00,71,190
2025-03-27 18:00:00,100,197
2025-03-27 18:15:00,63,192
2025-03-27 18:30:00,74,192
2025-03-27 18:45:00,69,189
2025-03-27 19:00:00,100,182
2025-03-27 19:15:00,83,186
2025-03-27 19:30:00,63,180
2025-03-27 19:45:00,70,183
2025-03-27 20:00:00,54,184
2025-03-27 20:15:00,89,172
2025-03-27 20:30:00,58,168
2025-03-27 20:45:00,86,156
2025-03-27 21:00:00,82,166
2025-03-27 21:15:00,95,155
2025-03-27 21:30:00,50,154
2025-03-27 21:45:00,76,158
