timestamp,cpu,memory
2025-03-13 00:00:00,84,130
2025-03-13 00:15:00,97,130
2025-03-13 00:30:00,60,113
2025-03-13 00:45:00,85,111
2025-03-13 01:00:00,50,113
2025-03-13 01:15:00,53,105
2025-03-13 01:30:00,50,117
2025-03-13 01:45:00,50,109
2025-03-13 02:00:00,50,108
2025-03-13 02:15:00,67,108
2025-03-13 02:30:00,50,112
2025-03-13 02:45:00,50,100
2025-03-13 03:00:00,51,106
2025-03-13 03:15:00,50,105
2025-03-13 03:30:00,50,107
2025-03-13 03:45:00,68,102
2025-03-13 04:00:00,74,103
2025-03-13 04:15:00,81,100
2025-03-13 04:30:00,50,107
2025-03-13 04:45:00,50,100
2025-03-13 05:00:00,55,104
2025-03-13 05:15:00,87,105
2025-03-13 05:30:00,50,100
2025-03-13 05:45:00,66,109
2025-03-13 06:00:00,50,116
2025-03-13 06:15:00,50,100
2025-03-13 06:30:00,88,111
2025-03-13 06:45:00,95,119
2025-03-13 07:00:00,77,116
2025-03-13 07:15:00,59,113
2025-03-13 07:30:00,53,122
2025-03-13 07:45:00,59,118
2025-03-13 08:00:00,87,134
2025-03-13 08:15:00,86,118
2025-03-13 08:30:00,80,128
2025-03-13 08:45:00,50,142
2025-03-13 09:00:00,50,132
2025-03-13 09:15:00,93,146
2025-03-13 09:30:00,85,151
2025-03-13 09:45:00,56,140
2025-03-13 10:00:00,100,152
2025-03-13 10:15:00,100,160
2025-03-13 10:30:00,100,146
2025-03-13 10:45:00,87,168
2025-03-13 11:00:00,50,154
2025-03-13 11:15:00,100,169
2025-03-13 11:30:00,86,175
2025-03-13 11:45:00,60,180
2025-03-13 12:00:00,54,181
2025-03-13 12:15:00,58,177
2025-03-13 12:30:00,53,171
2025-03-13 12:45:00,100,175
2025-03-13 13:00:00,61,192
2025-03-13 13:15:00,100,182
2025-03-13 13:30:00,100,183
2025-03-13 13:45:00,100,183
2025-03-13 14:00:00,100,192
2025-03-13 14:15:00,75,198
2025-03-13 14:30:00,63,191
2025-03-13 14:45:00,70,195
2025-03-13 15:00:00,100,199
2025-03-13 15:15:00,76,200
2025-03-13 15:30:00,100,198
2025-03-13 15:45:00,60,197
2025-03-13 16:00:00,100,191
2025-03-13 16:15:00,100,193
2025-03-13 16:30:00,94,200
2025-03-13 16:45:00,100,196
2025-03-13 17:00:00,100,193
2025-03-13 17:15:00,100,189
2025-03-13 17:30:00,83,192
2025-03-13 17:45:00,100,193
2025-03-13 18:00:00,63,193
2025-03-13 18:15:00,74,186
2025-03-13 18:30:00,100,182
2025-03-13 18:45:00,59,190
2025-03-13 19:00:00,91,194
2025-03-13 19:15:00,100,175
2025-03-13 19:30:00,93,175
2025-03-13 19:45:00,68,179
2025-03-13 20:00:00,68,172
2025-03-13 20:15:00,83,169
2025-03-13 20:30:00,87,166
2025-03-13 20:45:00,99,167
