timestamp,cpu,memory
2025-03-26 00:00:00,94,131
2025-03-26 00:15:00,50,128
2025-03-26 00:30:00,65,113
2025-03-26 00:45:00,50,110
2025-03-26 01:00:00,95,118
2025-03-26 01:15:00,56,105
2025-03-26 01:30:00,66,101
2025-03-26 01:45:00,61,117
2025-03-26 02:00:00,50,114
2025-03-26 02:15:00,50,108
2025-03-26 02:30:00,50,100
2025-03-26 02:45:00,50,111
2025-03-26 03:00:00,78,102
2025-03-26 03:15:00,50,102
2025-03-26 03:30:00,50,103
2025-03-26 03:45:00,61,109
2025-03-26 04:00:00,50,100
2025-03-26 04:15:00,50,102
2025-03-26 04:30:00,50,101
2025-03-26 04:45:00,50,107
2025-03-26 05:00:00,77,109
2025-03-26 05:15:00,85,112
2025-03-26 05:30:00,72,111
2025-03-26 05:45:00,64,100
2025-03-26 06:00:00,72,114
2025-03-26 06:15:00,50,102
2025-03-26 06:30:00,81,111
2025-03-26 06:45:00,67,122
2025-03-26 07:00:00,61,109
2025-03-26 07:15:00,50,123
2025-03-26 07:30:00,88,127
2025-03-26 07:45:00,69,115
2025-03-26 08:00:00,81,116
2025-03-26 08:15:00,50,129
2025-03-26 08:30:00,69,134
2025-03-26 08:45:00,87,128
2025-03-26 09:00:00,50,137
2025-03-26 09:15:00,52,132
2025-03-26 09:30:00,65,151
2025-03-26 09:45:00,50,145
2025-03-26 10:00:00,75,153
2025-03-26 10:15:00,100,161
2025-03-26 10:30:00,64,161
2025-03-26 10:45:00,100,156
2025-03-26 11:00:00,100,166
2025-03-26 11:15:00,71,174
2025-03-26 11:30:00,84,167
2025-03-26 11:45:00,52,164
2025-03-26 12:00:00,100,174
2025-03-26 12:15:00,100,179
2025-03-26 12:30:00,87,177
2025-03-26 12:45:00,61,183
2025-03-26 13:00:00,65,181
2025-03-26 13:15:00,100,188
2025-03-26 13:30:00,100,179
2025-03-26 13:45:00,86,200
2025-03-26 14:00:00,100,194
2025-03-26 14:15:00,91,187
2025-03-26 14:30:00,100,200
2025-03-26 14:45:00,100,192
2025-03-26 15:00:00,100,192
2025-03-26 15:15:00,63,196
2025-03-26 15:30:00,99,198
2025-03-26 15:45:00,79,191
2025-03-26 16:00:00,80,199
2025-03-26 16:15:00,100,200
2025-03-26 16:30:00,100,189
2025-03-26 16:45:00,79,200
2025-03-26 17:00:00,72,191
2025-03-26 17:15:00,100,192
2025-03-26 17:30:00,100,200
2025-03-26 17:45:00,100,200
2025-03-26 18:00:00,100,183
2025-03-26 18:15:00,69,193
2025-03-26 18:30:00,74,193
2025-03-26 18:45:00,85,196
2025-03-26 19:00:00,92,185
2025-03-26 19:15:00,100,188
2025-03-26 19:30:00,100,177
2025-03-26 19:45:00,100,184
2025-03-26 20:00:00,50,165
2025-03-26 20:15:00,100,167
2025-03-26 20:30:00,100,161
2025-03-26 20:45:00,85,166
2025-03-26 21:00:00,50,170
2025-03-26 21:15:00,52,159
2025-03-26 21:30:00,81,158
2025-03-26 21:45:00,89,148
2025-03-26 22:00:00,100,156
2025-03-26 22:15:00,59,153
2025-03-26 22:30:00,96,152
2025-03-26 22:45:00,50,132
2025-03-26 23:00:00,96,146
2025-03-26 23:15:00,50,134
2025-03-26 23:30:00,92,123
2025-03-26 23:45:00,50,131
